Date,Description,Category,Amount
2026-01-03,Paycheck,Income,4200.00
2026-01-04,Rent,Housing,-1850.00
2026-01-05,Whole Foods,Groceries,-142.33
2026-01-09,Shell Gas,Transport,-58.20
2026-01-12,Netflix,Subscriptions,-15.99
2026-01-15,Whole Foods,Groceries,-98.44
2026-01-18,Electric Bill,Utilities,-121.50
2026-01-22,Restaurant,Dining,-76.10
2026-01-28,Credit Card Interest,Interest,-89.22
2026-02-03,Paycheck,Income,4200.00
2026-02-04,Rent,Housing,-1850.00
2026-02-06,Whole Foods,Groceries,-156.78
2026-02-11,Netflix,Subscriptions,-15.99
2026-02-14,Shell Gas,Transport,-61.40
2026-02-19,Electric Bill,Utilities,-133.05
2026-02-25,Restaurant,Dining,-112.60
